iter	Passed	Remaining
0	157	157384
1	161	80455
2	163	54418
3	166	41544
4	174	34674
5	176	29158
6	180	25583
7	183	22750
8	186	20506
9	188	18687
10	191	17222
11	193	15945
12	198	15041
13	199	14054
14	201	13210
15	203	12542
16	205	11866
17	206	11282
18	208	10776
19	209	10280
20	210	9831
21	211	9419
22	212	9037
23	213	8699
24	215	8406
25	216	8123
26	218	7856
27	219	7602
28	220	7384
29	221	7166
30	222	6967
31	224	6785
32	225	6606
33	226	6436
34	227	6283
35	229	6135
36	230	5998
37	231	5864
38	232	5740
39	234	5625
40	235	5511
41	236	5402
42	237	5292
43	239	5196
44	240	5102
45	241	5011
46	243	4935
47	244	4853
48	246	4779
49	247	4704
50	248	4632
51	250	4566
52	251	4502
53	253	4435
54	254	4371
55	255	4308
56	256	4247
57	258	4192
58	259	4137
59	260	4086
60	261	4031
61	263	3979
62	264	3935
63	265	3886
64	266	3838
65	268	3795
66	269	3752
67	270	3714
68	272	3675
69	273	3633
70	274	3593
71	275	3557
72	277	3518
73	278	3480
74	279	3446
75	280	3410
76	281	3376
77	283	3345
78	284	3315
79	285	3285
80	286	3255
81	288	3229
82	289	3194
83	290	3164
84	291	3136
85	292	3109
86	294	3087
87	295	3061
88	296	3033
89	297	3008
90	298	2982
91	300	2963
92	301	2939
93	302	2913
94	303	2889
95	304	2866
96	305	2843
97	306	2824
98	307	2801
99	309	2783
100	310	2763
101	312	2747
102	313	2729
103	314	2711
104	316	2695
105	317	2678
106	319	2665
107	320	2647
108	321	2630
109	322	2613
110	324	2595
111	325	2582
112	326	2565
113	328	2552
114	329	2536
115	331	2525
116	332	2508
117	333	2492
118	334	2477
119	335	2463
120	338	2456
121	339	2442
122	340	2427
123	341	2413
124	342	2399
125	344	2386
126	345	2372
127	346	2361
128	347	2348
129	348	2334
130	350	2323
131	351	2310
132	352	2299
133	353	2287
134	355	2275
135	356	2266
136	357	2253
137	358	2242
138	360	2230
139	361	2218
140	362	2209
141	363	2196
142	364	2185
143	365	2173
144	366	2162
145	367	2152
146	369	2141
147	370	2132
148	371	2122
149	372	2111
150	373	2101
151	374	2092
152	375	2081
153	377	2072
154	378	2062
155	379	2053
156	380	2044
157	381	2035
158	383	2026
159	384	2018
160	385	2007
161	386	2000
162	387	1991
163	388	1982
164	389	1973
165	390	1964
166	392	1956
167	393	1948
168	394	1940
169	395	1933
170	397	1924
171	397	1915
172	399	1908
173	400	1900
174	401	1893
175	402	1886
176	403	1878
177	405	1871
178	406	1864
179	407	1857
180	408	1850
181	410	1843
182	411	1837
183	412	1831
184	414	1824
185	415	1818
186	416	1811
187	418	1805
188	419	1799
189	420	1793
190	421	1787
191	423	1780
192	424	1776
193	426	1770
194	427	1765
195	429	1760
196	430	1754
197	431	1749
198	433	1743
199	434	1738
200	435	1731
201	436	1726
202	438	1722
203	440	1718
204	441	1713
205	443	1708
206	444	1701
207	445	1695
208	446	1688
209	447	1683
210	448	1677
211	449	1672
212	451	1666
213	452	1661
214	453	1655
215	454	1649
216	455	1644
217	456	1638
218	457	1633
219	459	1628
220	461	1624
221	462	1620
222	463	1615
223	464	1610
224	465	1604
225	467	1602
226	469	1597
227	470	1592
228	471	1587
229	472	1582
230	473	1577
231	475	1572
232	476	1567
233	477	1562
234	478	1558
235	480	1554
236	481	1549
237	482	1544
238	483	1539
239	485	1536
240	486	1531
241	487	1526
242	488	1522
243	489	1517
244	491	1513
245	492	1508
246	493	1504
247	494	1499
248	495	1494
249	496	1490
250	497	1486
251	499	1481
252	500	1478
253	501	1473
254	503	1471
255	504	1467
256	506	1463
257	507	1458
258	508	1454
259	510	1453
260	511	1449
261	513	1445
262	514	1440
263	515	1436
264	516	1432
265	517	1429
266	518	1424
267	519	1420
268	521	1416
269	522	1412
270	523	1408
271	524	1404
272	525	1399
273	526	1395
274	528	1392
275	529	1388
276	530	1384
277	531	1379
278	532	1375
279	533	1371
280	534	1367
281	535	1363
282	536	1359
283	537	1355
284	539	1352
285	540	1349
286	541	1345
287	542	1342
288	543	1338
289	545	1334
290	546	1331
291	547	1327
292	548	1324
293	549	1320
294	550	1316
295	552	1313
296	553	1310
297	554	1306
298	555	1302
299	556	1299
300	558	1296
301	559	1293
302	560	1289
303	561	1285
304	562	1281
305	563	1279
306	565	1275
307	566	1272
308	567	1269
309	569	1267
310	570	1264
311	572	1261
312	573	1257
313	574	1254
314	575	1252
315	577	1249
316	578	1246
317	580	1243
318	581	1240
319	583	1239
320	584	1236
321	585	1233
322	586	1230
323	588	1227
324	589	1225
325	591	1223
326	592	1219
327	593	1216
328	595	1214
329	596	1211
330	597	1207
331	598	1204
332	599	1201
333	601	1198
334	602	1196
335	603	1193
336	604	1189
337	606	1186
338	607	1183
339	608	1181
340	609	1178
341	611	1175
342	612	1172
343	613	1170
344	614	1167
345	615	1164
346	617	1161
347	618	1158
348	619	1155
349	620	1153
350	622	1150
351	623	1147
352	624	1144
353	625	1140
354	626	1138
355	628	1136
356	629	1134
357	630	1131
358	632	1128
359	633	1126
360	634	1123
361	635	1120
362	636	1117
363	637	1114
364	638	1111
365	640	1108
366	641	1105
367	642	1102
368	643	1099
369	644	1097
370	645	1094
371	646	1091
372	648	1089
373	649	1086
374	650	1083
375	651	1081
376	652	1078
377	654	1076
378	655	1073
379	656	1071
380	657	1068
381	658	1065
382	659	1063
383	660	1060
384	662	1058
385	663	1055
386	664	1053
387	666	1050
388	667	1047
389	668	1044
390	669	1042
391	670	1040
392	671	1037
393	673	1035
394	674	1033
395	675	1030
396	676	1028
397	678	1025
398	679	1023
399	680	1021
400	682	1019
401	683	1016
402	684	1013
403	685	1010
404	686	1008
405	688	1007
406	689	1005
407	691	1002
408	692	1000
409	693	997
410	694	995
411	695	992
412	696	990
413	697	987
414	699	985
415	700	983
416	701	980
417	702	977
418	703	975
419	704	972
420	705	970
421	706	968
422	707	965
423	708	963
424	709	960
425	710	957
426	712	955
427	713	953
428	714	950
429	715	948
430	716	946
431	718	944
432	719	942
433	720	939
434	722	937
435	723	935
436	724	933
437	725	930
438	726	928
439	727	926
440	729	924
441	730	922
442	731	920
443	732	917
444	734	915
445	735	913
446	736	910
447	737	908
448	738	906
449	739	904
450	740	901
451	741	899
452	743	897
453	744	895
454	745	893
455	747	891
456	748	888
457	749	886
458	750	884
459	752	882
460	753	880
461	754	878
462	755	876
463	756	874
464	757	871
465	759	869
466	760	867
467	761	865
468	762	863
469	764	861
470	764	859
471	765	856
472	767	854
473	768	852
474	769	850
475	770	848
476	771	846
477	772	844
478	774	841
479	775	839
480	776	838
481	778	836
482	779	834
483	780	832
484	781	830
485	782	827
486	784	825
487	785	823
488	786	821
489	787	819
490	788	817
491	789	815
492	790	813
493	791	811
494	793	809
495	794	806
496	795	804
497	796	802
498	797	800
499	798	798
500	799	796
501	800	794
502	802	792
503	803	790
504	804	788
505	805	786
506	807	784
507	808	783
508	809	780
509	811	779
510	812	777
511	813	775
512	814	773
513	815	771
514	816	769
515	818	767
516	819	765
517	820	763
518	821	761
519	822	759
520	824	757
521	825	756
522	826	754
523	827	751
524	829	750
525	830	748
526	831	746
527	832	744
528	834	742
529	835	740
530	836	738
531	837	737
532	838	735
533	839	732
534	841	731
535	842	729
536	843	727
537	844	725
538	845	723
539	846	721
540	847	719
541	849	717
542	850	715
543	851	713
544	852	711
545	853	709
546	854	707
547	856	706
548	857	704
549	858	702
550	860	700
551	861	699
552	862	697
553	863	695
554	864	693
555	866	691
556	867	690
557	868	688
558	869	686
559	870	683
560	871	682
561	873	680
